"AREA","SAREA","TIPO DE REACTIVO","GRUPO","CLAVE","ESPECIFICACION","PROCESO","RESPUESTA","DIF","COR","B","A","C","TC","TRI","COV"
"LECTORA","HLAP","P",10048,10048,,,,,,,,,,,
"LECTORA","HLAP","RA",10048,10727,"APET211","Extracción","B",57.6,0.186,0.222,0.562,0.199,"R","A",1.515
"LECTORA","HLAP","RA",10048,10734,"APCM303","Interpretación","A",57.8,0.097,0.571,0.374,0.234,"R","R",0.908
"LECTORA","HLAP","RA",10048,10752,"APEF114","Reflexión","A",41.1,0.202,1.241,0.802,0.166,"A","A",2.026
"LECTORA","HLAP","RA",10048,10755,"APEF309","Reflexión","D",69.2,0.204,-0.918,0.649,0.163,"A","A",1.232
"LECTORA","HLAP","RA",10048,11213,"APET313","Extracción","C",61.9,0.327,-0.283,1.258,0.12,"A","A",2.09
"LECTORA","HLAP","RA",10048,11220,"APIN104","Interpretación","B",21.7,0.132,2.282,1.325,0.144,"R","R",1.001
"LECTORA","HLAP","RA",10048,11223,"APEX101","Extracción","C",48.6,0.285,0.718,8.126,0.328,"A","A",1.778
"LECTORA","HLAP","RA",10048,11235,"APIN206","Interpretación","C",56.6,0.358,-0.072,1.415,0.098,"A","A",2.632
"LECTORA","HLAP","RA",10048,11238,"APET110","Extracción","A",77.8,0.241,-1.193,0.981,0.192,"A","A",1.586
"LECTORA","HLAR","P",10071,10071,,,,,,,,,,,
"LECTORA","HLAR","RA",10071,10073,"ARET102","Extracción ","C",74.1,0.225,-0.86,0.878,0.245,"A","A",1.473
"LECTORA","HLAR","RA",10071,10075,"ARET203","Extracción ","D",48,0.207,0.815,0.723,0.173,"A","A",1.589
"LECTORA","HLAR","RA",10071,10077,"ARCM105","Interpretación","C",68,0.186,-0.584,0.759,0.206,"R","A",1.537
"LECTORA","HLAR","RA",10071,10080,"ARCM206","Interpretación","B",45,0.191,1.294,0.96,0.254,"R","A",1.306
"LECTORA","HLAR","RA",10071,10082,"ARCM307","Interpretación","C",56.5,0.339,0.276,1.886,0.248,"A","A",2.224
"LECTORA","HLAR","RA",10071,10520,"ARET101","Extracción ","C",34,0.185,1.705,1.751,0.252,"R","A",1.422
"LECTORA","HLAR","RA",10071,10526,"ARET304","Extracción","B",54.9,0.197,0.465,0.86,0.229,"R","A",1.258
"LECTORA","HLAR","RA",10071,10539,"ARIN208","Interpretación","B",51.4,0.277,0.835,2.055,0.336,"A","A",1.795
"LECTORA","HLAR","RA",10071,10540,"AREC210","Reflexión","D",48.8,0.335,0.373,1.306,0.133,"A","A",2.151
"LECTORA","HLAR","RA",10071,10542,"AREC311","Reflexión","D",24.5,0.12,2.834,0.864,0.158,"R","R",0.825
"MATEMÁTICA","HMCAT","RS",10515,10515,"CATSNRP01","Reproducción","B",65.7,0.397,-0.186,1.787,0.232,"A","A",2.287
"MATEMÁTICA","HMCAT","RS",10423,10423,"CATOPRP02","Reproducción","D",37.7,0.512,0.487,2.821,0.052,"A","A",2.291
"MATEMÁTICA","HMCAT","RS",10359,10359,"CATOPRP03","Reproducción","D",31.2,0.488,0.856,3.653,0.114,"A","A",2.275
"MATEMÁTICA","HMCAT","RS",10236,10236,"CATOPRP04","Reproducción","B",36.4,0.239,1.561,1.953,0.271,"A","A",1.254
"MATEMÁTICA","HMCAT","RS",10968,10968,"CATOPRP05","Reproducción","D",31.4,0.315,1.3,1.728,0.162,"A","A",1.554
"MATEMÁTICA","HMCAT","RS",10432,10432,"CATSMRP06","Reproducción","B",45.9,0.201,1.364,1.92,0.353,"A","A",1.218
"MATEMÁTICA","HMCAT","RS",10793,10793,"CATSMRP07","Reproducción","C",43.5,0.351,0.831,1.995,0.226,"A","A",2.006
"MATEMÁTICA","HMCAT","RS",10412,10412,"CATSNCO08","Conexión","B",61.3,0.289,-0.299,0.959,0.123,"A","A",1.547
"MATEMÁTICA","HMCAT","RS",10497,10497,"CATSNCO09","Conexión","B",47.8,0.383,0.575,1.834,0.208,"A","A",2.166
"MATEMÁTICA","HMCAT","RS",10211,10211,"CATSNCO10","Conexión","B",72,0.299,-0.63,1.19,0.22,"A","A",1.958
"MATEMÁTICA","HMCAT","RS",10510,10510,"CATOPCO11","Conexión","C",28.8,0.143,1.915,2.921,0.248,"R","A",0.664
"MATEMÁTICA","HMCAT","RS",10003,10003,"CATOPCO12","Conexión","D",34.8,0.269,1.479,1.505,0.215,"A","A",1.505
"MATEMÁTICA","HMCAT","RS",10023,10023,"CATOPCO13","Conexión","B",46.1,0.292,0.771,1.177,0.195,"A","A",1.747
"MATEMÁTICA","HMCAT","RS",10371,10371,"CATOPCO14","Conexión","B",38.9,0.18,1.746,2.215,0.327,"R","A",1.081
"MATEMÁTICA","HMCAT","RS",10419,10419,"CATOPCO15","Conexión","B",43.2,0.26,1.23,1.461,0.273,"A","A",1.219
"MATEMÁTICA","HMCAT","RS",10004,10004,"CATOPCO16","Conexión","C",61.4,0.441,-0.138,1.913,0.162,"A","A",2.485
"MATEMÁTICA","HMCAT","RS",10215,10215,"CATOPCO17","Conexión","B",57.7,0.362,-0.091,1.672,0.111,"A","A",2.2
"MATEMÁTICA","HMCAT","RS",11299,11299,"CATOPCO18","Conexión","C",31,0.144,1.959,2.088,0.256,"R","A",1.016
"MATEMÁTICA","HMCAT","RS",10421,10421,"CATETCO19","Conexión","B",67.6,0.283,-0.36,1.354,0.212,"A","A",1.488
"MATEMÁTICA","HMCAT","RS",10276,10276,"CATETCO20","Conexión","D",23.5,0.351,1.364,1.888,0.089,"A","A",1.585
"MATEMÁTICA","HMCAT","RS",10996,10996,"CATOPRF21","Reflexión","A",46.9,0.277,1.073,1.542,0.298,"A","A",1.513
"MATEMÁTICA","HMCAT","RS",11114,11114,"CATOPRF22","Reflexión","C",51.9,0.318,0.661,1.731,0.289,"A","A",2.016
"MATEMÁTICA","HMCAT","RS",10942,10942,"CATOPRF23","Reflexión","D",20.8,0.318,1.544,1.978,0.094,"A","A",1.466
"MATEMÁTICA","HMCAT","RS",11026,11026,"CATOPRF24","Reflexión","B",30.5,0.128,2.363,1.464,0.254,"R","R",0.563
"MATEMÁTICA","HMCAT","RS",10738,10738,"CATOPRF25","Reflexión","B",36.8,0.046,2.497,2.324,0.348,"R","R",0.566
"MATEMÁTICA","HMMAT","RS",11265,11265,"MATTRRF16","Reflexión","C",22.6,0.05,6.266,0.312,0.112,"R","R",0.653
"MATEMÁTICA","HMMAT","RS",11273,11273,"MATTRRF17","Reflexión","B",22.9,0.035,3.958,0.348,0.028,"R","R",0.014
"MATEMÁTICA","HMMAT","RS",11081,11081,"MATTRRF18","Reflexión","A",31.4,0.053,1.926,0.482,0.028,"R","A",0.191
"MATEMÁTICA","HMMAT","RS",11327,11327,"MATGARF19","Reflexión","B",30.2,0.061,2.177,0.453,0.028,"R","R",-0.177
"MATEMÁTICA","HMMAT","RS",11325,11325,"MATGARF20","Reflexión","B",30.1,0.113,1.436,0.657,0.007,"R","A",0.089
"LECTORA","HLNA","P",10244,10244,,,,,,,,,,,
"LECTORA","HLNA","RA",10244,10269,"NACM305","Interpretación","B",47,0.238,0.779,0.856,0.169,"A","A",1.398
"LECTORA","HLNA","RA",10244,10272,"NAIN108","Interpretación","D",41.1,0.239,0.955,0.659,0.079,"A","A",1.311
"LECTORA","HLNA","RA",10244,10275,"NAIN313","Interpretación","B",35.8,0.254,1.172,1.729,0.189,"A","A",1.616
"LECTORA","HLNA","RA",10244,10444,"NAET101","Extracción","C",59.8,0.218,-0.17,0.627,0.153,"A","A",1.204
"LECTORA","HLNA","RA",10244,10445,"NAET202","Extracción","D",59,0.457,0.045,1.972,0.189,"A","A",2.243
"LECTORA","HLNA","RA",10244,10453,"NAIN212","Interpretación","C",45.9,0.239,0.854,0.801,0.159,"A","A",1.265
"LECTORA","HLNA","RA",10244,10459,"NAET116","Extracción","D",65,0.342,-0.537,1.014,0.101,"A","A",1.535
"LECTORA","HLNA","RA",10244,10468,"NAEF320","Reflexión","D",35.9,0.04,4.288,0.226,0.116,"R","R",0.117
"LECTORA","HLNA","RA",10244,11191,"NACM103","Interpretación","B",54.1,0.356,0.35,1.697,0.221,"A","A",1.837
"LECTORA","HLNA","RA",10244,11193,"NAET217","Extracción","A",77.4,0.43,-0.98,1.616,0.11,"A","A",1.53
"LECTORA","HLNA","RA",10244,11197,"NAET318","Extracción","B",71.2,0.454,-0.515,1.775,0.187,"A","A",1.743
"LECTORA","HLNA","RA",10244,11208,"NAEF215","Reflexión","A",55.2,0.208,-0.059,0.525,0.09,"A","A",0.993
"LECTORA","HLNA","RA",10244,11231,"NACM204","Interpretación","C",76.5,0.493,-0.695,2.254,0.194,"A","A",1.897
"LECTORA","HLNA","RA",10244,11236,"NAIN211","Interpretación","D",49.6,0.346,0.232,1.05,0.079,"A","A",1.808
"MATEMÁTICA","HMCYRR","RS",10555,10555,"CYRRNRP01","Reproducción","D",57.3,0.198,0.048,0.724,0.159,"R","A",1.572
"MATEMÁTICA","HMCYRR","RS",10936,10936,"CYRRNRP02","Reproducción","D",56,0.33,0.386,1.512,0.263,"A","A",2.035
"MATEMÁTICA","HMCYRR","RS",10803,10803,"CYRRFRP03","Reproducción","A",26.7,0.17,2.219,1.364,0.195,"R","R",0.93
"MATEMÁTICA","HMCYRR","RS",10378,10378,"CYRRFRP04","Reproducción","B",29.6,0.206,1.961,1.514,0.214,"A","A",1.132
"MATEMÁTICA","HMCYRR","RS",11311,11311,"CYRRFRP05","Reproducción","B",24.8,0.021,2.609,3.684,0.241,"R","R",0.2
"MATEMÁTICA","HMCYRR","RS",10523,10523,"CYRRLRP06","Reproducción","C",14.1,0.129,2.918,1.281,0.101,"R","R",0.637
"MATEMÁTICA","HMCYRR","RS",10476,10476,"CYRRCRP07","Reproducción","C",33.8,0.079,2.353,1.9,0.304,"R","R",0.567
"MATEMÁTICA","HMCYRR","RS",10519,10519,"CYRRSRP08","Reproducción","D",54.5,0.385,0.231,1.688,0.192,"A","A",2.257
"MATEMÁTICA","HMCYRR","RS",10414,10414,"CYRMTRP09","Reproducción","B",58.5,0.366,-0.049,1.478,0.15,"A","A",2.154
"MATEMÁTICA","HMCYRR","RS",10574,10574,"CYRRFCO10","Conexión","B",40.2,0.309,0.748,1.622,0.138,"A","A",1.944
"MATEMÁTICA","HMCYRR","RS",10296,10296,"CYRRFCO11","Conexión","D",79.3,0.216,-1.106,1.317,0.178,"A","A",1.434
"MATEMÁTICA","HMCYRR","RS",10408,10408,"CYRIFCO12","Conexión","C",43.9,0.183,0.787,0.778,0.112,"R","A",1.339
"MATEMÁTICA","HMCYRR","RS",11304,11304,"CYRIFCO13","Conexión","B",49.8,0.305,0.306,1.494,0.134,"A","A",1.975
"MATEMÁTICA","HMCYRR","RS",10429,10429,"CYRECCO14","Conexión","B",52.9,0.371,0.424,1.904,0.239,"A","A",2.16
"MATEMÁTICA","HMCYRR","RS",10484,10484,"CYRECCO15","Conexión","D",17.3,0.175,2.416,1.52,0.12,"R","R",0.679
"MATEMÁTICA","HMCYRR","RS",10422,10422,"CYRECCO16","Conexión","A",33.1,0.064,2.109,3.975,0.308,"R","R",0.565
"MATEMÁTICA","HMCYRR","RS",10212,10212,"CYRSSCO17","Conexión","C",40.5,0.226,1.24,1.11,0.207,"A","A",1.52
"MATEMÁTICA","HMCYRR","RS",10509,10509,"CYRRLCO18","Conexión","A",34.7,0.148,1.788,2.829,0.294,"R","A",1.143
"MATEMÁTICA","HMCYRR","RS",11292,11292,"CYRRCCO19","Conexión","A",45.5,0.228,0.91,1.299,0.224,"A","A",1.601
"MATEMÁTICA","HMCYRR","RS",10248,10248,"CYRRSCO20","Conexión","C",36.2,0.316,1.136,1.757,0.188,"A","A",1.878
"MATEMÁTICA","HMCYRR","RS",11028,11028,"CYRRFRF21","Reflexión","C",31.2,0.251,1.449,2.429,0.212,"A","A",1.399
"MATEMÁTICA","HMCYRR","RS",10246,10246,"CYRSSRF22","Reflexión","A",34.9,0.266,1.242,2.419,0.215,"A","A",1.684
"MATEMÁTICA","HMCYRR","RS",10458,10458,"CYRSSRF23","Reflexión","A",34.9,0.015,3.759,1.212,0.334,"R","R",0.488
"MATEMÁTICA","HMCYRR","RS",11042,11042,"CYRRLRF24","Reflexión","C",28.4,0.2,1.92,1.766,0.212,"A","A",0.888
"MATEMÁTICA","HMCYRR","RS",11055,11055,"CYRRSRF25","Reflexión","D",57.5,0.134,0.766,0.613,0.296,"R","A",1.281
"MATEMÁTICA","HMMAT","RS",11049,11049,"MATTRCO11","Conexión","B",55.8,0.085,0.003,0.485,0.116,"R","A",1.04
"MATEMÁTICA","HMMAT","RS",11044,11044,"MATGACO12","Conexión","C",36.4,0.131,0.923,1.003,0.067,"R","A",0.836
"MATEMÁTICA","HMMAT","RS",10990,10990,"MATGACO13","Conexión","D",26.1,0.137,1.68,1.012,0.081,"R","A",1.112
"MATEMÁTICA","HMMAT","RS",10971,10971,"MATGACO14","Conexión","A",37.1,0.134,1.164,1.508,0.189,"R","A",1.556
"MATEMÁTICA","HMMAT","RS",11056,11056,"MATGACO15","Conexión","C",22.1,0.105,2.454,0.815,0.089,"R","R",0.664
"LECTORA","HLEX","P",10885,10885,,,,,,,,,,,
"LECTORA","HLEX","RA",10885,10893,"EXET120","Extracción","C",52.6,0.308,0.618,1.327,0.263,"A","A",1.712
"LECTORA","HLEX","RA",10885,10903,"EXET222","Extracción","A",79.3,0.362,-1.103,1.248,0.198,"A","A",1.49
"LECTORA","HLEX","RA",10885,10905,"EXET302","Extracción","B",52.1,0.276,0.839,1.3,0.306,"A","A",1.522
"LECTORA","HLEX","RA",10885,10908,"EXET303","Extracción","D",38.2,0.24,1.275,0.846,0.139,"A","A",1.371
"LECTORA","HLEX","RA",10885,10911,"EXCM104","Interpretación","C",45.3,0.201,1.401,0.782,0.244,"A","A",1.172
"LECTORA","HLEX","RA",10885,10913,"EXCM206","Interpretación","B",60.6,0.302,0.221,1.096,0.276,"A","A",1.516
"LECTORA","HLEX","RA",10885,10916,"EXCM307","Interpretación","D",46.6,0.315,0.61,0.972,0.138,"A","A",1.753
"LECTORA","HLEX","RA",10885,10919,"EXIN110","Interpretación","A",81.4,0.317,-1.277,1.106,0.233,"R","A",1.317
"LECTORA","HLEX","RA",10885,10921,"EXIN212","Interpretación","B",38.5,0.21,1.474,1.46,0.255,"A","A",1.383
"LECTORA","HLEX","RA",10885,10923,"EXIN213","Interpretación","C",41.1,0.219,1.411,1.087,0.239,"A","A",1.304
"LECTORA","HLEX","RA",10885,10924,"EXIN214","Interpretación","A",63.8,0.311,-0.427,0.894,0.137,"A","A",1.505
"LECTORA","HLEX","RA",10885,10926,"EXIN317","Interpretación","D",62.7,0.357,-0.181,1.162,0.184,"A","A",1.784
"LECTORA","HLEX","RA",10885,10927,"EXEC126","Reflexión","C",54.1,0.169,0.743,0.507,0.218,"R","A",0.951
"LECTORA","HLEX","RA",10885,11244,"EXET119","Extracción","C",50,0.329,0.749,1.69,0.279,"A","A",1.965
"LECTORA","HLEX","RA",10885,11248,"EXET121","Extracción","B",22,0.182,1.843,2.076,0.151,"R","A",1.131
"LECTORA","HLEX","RA",10885,11250,"EXET201","Extracción","D",61.9,0.44,-0.197,1.537,0.145,"A","A",2.231
"LECTORA","HLEX","RA",10885,11251,"EXEC225","Reflexión","D",41.8,0.254,1.155,1.252,0.224,"A","A",1.452
"MATEMÁTICA","HMEYF","RS",10214,10214,"EYFOBRP01","Reproducción","A",41.1,0.155,1.73,1.097,0.283,"R","A",1.139
"MATEMÁTICA","HMEYF","RS",10099,10099,"EYFRMRP02","Reproducción","A",33.9,0.04,3.518,0.722,0.274,"R","R",0.696
"MATEMÁTICA","HMEYF","RS",11378,11378,"EYFCDRP03","Reproducción","A",55.4,0.221,0.508,1.017,0.26,"A","A",1.621
"MATEMÁTICA","HMEYF","RS",11047,11047,"EYFCDRP04","Reproducción","D",27.6,0.255,1.376,1.205,0.078,"A","A",1.499
"MATEMÁTICA","HMEYF","RS",10345,10345,"EYFRFRP05","Reproducción","C",62.9,0.163,-0.416,0.761,0.138,"R","A",1.37
"MATEMÁTICA","HMEYF","RS",10317,10317,"EYFOBCO06","Conexión","C",29.1,0.029,3.519,1.077,0.263,"R","R",0.504
"MATEMÁTICA","HMEYF","RS",10156,10156,"EYFOBCO07","Conexión","A",49.6,0.162,1.365,1.833,0.393,"R","A",1.447
"MATEMÁTICA","HMEYF","RS",10398,10398,"EYFOBCO08","Conexión","B",44.6,0.225,0.806,0.905,0.146,"A","A",1.635
"MATEMÁTICA","HMEYF","RS",10226,10226,"EYFCDCO09","Conexión","C",49.7,0.134,1.268,0.801,0.288,"R","A",1.301
"MATEMÁTICA","HMEYF","RS",11138,11138,"EYFCCCO10","Conexión","C",41.2,0.162,1.485,1.47,0.289,"R","A",1.324
"MATEMÁTICA","HMEYF","RS",11076,11076,"EYFCCCO11","Conexión","A",21.3,0.112,2.809,1.188,0.163,"R","R",0.577
"MATEMÁTICA","HMEYF","RS",10554,10554,"EYFCCCO12","Conexión","D",44.7,0.17,1.198,0.726,0.192,"R","A",1.185
"MATEMÁTICA","HMEYF","RS",10533,10533,"EYFRFCO13","Conexión","C",57.6,0.253,-0.07,1.015,0.126,"A","A",1.643
"MATEMÁTICA","HMEYF","RS",11305,11305,"EYFRFCO14","Conexión","A",63.4,0.28,-0.121,1.188,0.223,"A","A",1.483
"MATEMÁTICA","HMEYF","RS",11330,11330,"EYFOECO15","Conexión","B",51.4,0.167,0.66,0.633,0.18,"R","A",1.619
"MATEMÁTICA","HMEYF","RS",11029,11029,"EYFRCRF16","Reflexión","A",27.6,0.088,3.112,0.75,0.189,"R","R",0.678
"MATEMÁTICA","HMEYF","RS",10809,10809,"EYFRCRF17","Reflexión","B",54.4,0.163,0.558,0.664,0.217,"R","A",0.976
"MATEMÁTICA","HMEYF","RS",10129,10129,"EYFRCRF18","Reflexión","B",51.5,0.11,1.285,0.5,0.249,"R","A",0.751
"MATEMÁTICA","HMEYF","RS",10947,10947,"EYFRCRF19","Reflexión","B",40.3,0.257,0.998,1.682,0.209,"A","A",1.765
"MATEMÁTICA","HMEYF","RS",10532,10532,"EYFRFRF20","Reflexión","D",43.6,0.23,0.641,1.017,0.105,"A","A",1.701
"MATEMÁTICA","HMMAT","RS",11057,11057,"MATTRRP01","Reproducción","C",33.3,0.084,1.561,3.65,0.269,"R","A",1.568
"MATEMÁTICA","HMMAT","RS",10735,10735,"MATGARP02","Reproducción","C",24.8,0.024,4.742,0.286,0.05,"R","R",0.376
"MATEMÁTICA","HMMAT","RS",10811,10811,"MATGARP03","Reproducción","A",19.9,0.012,5.788,0.283,0.04,"R","R",0.272
"MATEMÁTICA","HMMAT","RS",10986,10986,"MATGARP04","Reproducción","A",22.2,0.05,6.031,0.244,0.041,"R","R",0.396
"MATEMÁTICA","HMMAT","RS",10577,10577,"MATGARP05","Reproducción","B",32.7,0.079,3.003,0.281,0.034,"R","R",0.833
"MATEMÁTICA","HMMAT","RS",10382,10382,"MATTRCO06","Conexión","B",35.9,0.144,1.518,2.257,0.27,"R","A",1.199
"MATEMÁTICA","HMMAT","RS",10264,10264,"MATTRCO07","Conexión","B",34.9,0.109,0.885,0.929,0.022,"R","A",1.618
"MATEMÁTICA","HMMAT","RS",11150,11150,"MATTRCO08","Conexión","C",26.3,0.104,1.392,1.008,0.031,"R","A",0.867
"MATEMÁTICA","HMMAT","RS",11089,11089,"MATTRCO09","Conexión","B",29.6,0.109,1.254,0.943,0.035,"R","A",0.445
"MATEMÁTICA","HMMAT","RS",11006,11006,"MATTRCO10","Conexión","B",27.4,0.019,4.113,0.267,0.029,"R","R",0.635
